created_at,entry_id,field1,field2,field3
2023-04-16 20:48:19 UTC,4140,22.02000,76.37000,0.62589
2023-04-16 20:53:21 UTC,4141,22.04000,77.17000,0.60544
2023-04-16 20:58:23 UTC,4142,22.05000,76.86000,0.61403
2023-04-16 21:03:24 UTC,4143,22.05000,76.11000,0.63393
2023-04-16 21:08:26 UTC,4144,22.05000,78.25000,0.57715
2023-04-16 21:13:28 UTC,4145,22.05000,76.81000,0.61536
2023-04-16 21:18:30 UTC,4146,22.05000,76.88000,0.61350
2023-04-16 21:23:31 UTC,4147,22.04000,76.05000,0.63514
2023-04-16 21:28:33 UTC,4148,22.08000,77.74000,0.59176
2023-04-16 21:33:35 UTC,4149,22.09000,76.57000,0.62324
2023-04-16 21:38:36 UTC,4150,22.08000,76.99000,0.61170
2023-04-16 21:43:38 UTC,4151,22.07000,75.78000,0.64347
2023-04-16 21:48:40 UTC,4152,22.09000,75.10000,0.66235
2023-04-16 21:53:41 UTC,4153,22.08000,75.49000,0.65157
2023-04-16 21:58:43 UTC,4154,22.08000,76.50000,0.62472
2023-04-16 22:03:45 UTC,4155,22.09000,77.14000,0.60808
2023-04-16 22:08:46 UTC,4156,22.08000,75.83000,0.64254
2023-04-16 22:13:48 UTC,4157,22.11000,76.04000,0.63812
2023-04-16 22:18:50 UTC,4158,22.14000,76.21000,0.63475
2023-04-16 22:23:52 UTC,4159,22.12000,77.58000,0.59747
2023-04-16 22:28:53 UTC,4160,22.12000,77.28000,0.60546
2023-04-16 22:33:55 UTC,4161,22.12000,76.17000,0.63504
2023-04-16 22:38:57 UTC,4162,22.12000,76.76000,0.61932
2023-04-16 22:43:58 UTC,4163,22.12000,76.30000,0.63158
2023-04-16 22:49:00 UTC,4164,22.11000,76.11000,0.63625
2023-04-16 22:54:02 UTC,4165,22.11000,77.23000,0.60643
2023-04-16 22:59:03 UTC,4166,22.12000,76.75000,0.61959
2023-04-16 23:04:05 UTC,4167,22.15000,77.48000,0.60123
2023-04-16 23:09:07 UTC,4168,22.14000,77.19000,0.60860
2023-04-16 23:14:08 UTC,4169,22.12000,78.66000,0.56869
2023-04-16 23:19:10 UTC,4170,22.12000,77.30000,0.60493
2023-04-16 23:24:12 UTC,4171,22.17000,77.26000,0.60784
2023-04-16 23:29:13 UTC,4172,22.14000,76.64000,0.62328
2023-04-16 23:34:15 UTC,4173,22.17000,76.19000,0.63644
2023-04-16 23:39:17 UTC,4174,22.15000,76.19000,0.63567
2023-04-16 23:44:18 UTC,4175,22.15000,75.94000,0.64234
2023-04-16 23:49:20 UTC,4176,22.17000,76.25000,0.63484
2023-04-16 23:54:22 UTC,4177,22.15000,76.24000,0.63434
2023-04-16 23:59:23 UTC,4178,22.14000,76.42000,0.62915
2023-04-17 00:04:25 UTC,4179,22.17000,76.79000,0.62041
2023-04-17 00:09:27 UTC,4180,22.15000,77.22000,0.60817
2023-04-17 00:14:28 UTC,4181,22.15000,75.39000,0.65703
2023-04-17 00:19:30 UTC,4182,22.15000,76.87000,0.61752
2023-04-17 00:24:32 UTC,4183,22.15000,76.49000,0.62766
2023-04-17 00:29:33 UTC,4184,22.17000,76.82000,0.61960
2023-04-17 00:34:35 UTC,4185,22.17000,76.37000,0.63163
2023-04-17 00:39:37 UTC,4186,22.17000,77.19000,0.60971
2023-04-17 00:44:38 UTC,4187,22.18000,77.28000,0.60768
2023-04-17 00:49:40 UTC,4188,22.15000,76.94000,0.61565
2023-04-17 00:54:42 UTC,4189,22.14000,76.00000,0.64035
2023-04-17 00:59:43 UTC,4190,22.19000,77.00000,0.61554
2023-04-17 01:04:45 UTC,4191,22.18000,76.63000,0.62506
2023-04-17 01:09:47 UTC,4192,22.19000,77.48000,0.60270
2023-04-17 01:14:48 UTC,4193,22.17000,75.30000,0.66023
2023-04-17 01:19:50 UTC,4194,22.18000,77.65000,0.59778
2023-04-17 01:24:52 UTC,4195,22.17000,77.10000,0.61212
2023-04-17 01:29:53 UTC,4196,22.17000,76.92000,0.61693
2023-04-17 01:34:55 UTC,4197,22.17000,76.44000,0.62976
2023-04-17 01:39:57 UTC,4198,22.17000,76.17000,0.63698
2023-04-17 01:44:58 UTC,4199,22.17000,76.08000,0.63938
2023-04-17 01:50:00 UTC,4200,22.17000,76.77000,0.62094
